CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Address,Occupation,City
1,1,19,15,39,"7294 Scott Harbor Apt. 602
North Tammytown, WY 61511","Teacher, music",Brandonshire
2,1,21,15,81,"67557 Moody Roads
Lake Johnshire, PW 59047",Product manager,Ariasstad
3,0,20,16,6,"090 Hancock Highway
South Patriciaview, DC 65170",Sub,North Shaneville
4,0,23,16,77,"6532 Amanda Mission Apt. 406
Hollyburgh, RI 92242",Administrator,Lake Rebecca
5,0,31,17,40,"27141 Lawrence Plains
Garyfurt, WV 94124",Occupational therapist,Adamsborough
6,0,22,17,76,"066 Hunter Wells Apt. 546
South Jennifer, CA 36122",Press photographer,Port Derrick
7,0,35,18,6,"397 Rasmussen Field
New Johnville, MO 33310",Archivist,South Kathleenmouth
8,0,23,18,94,"406 Gonzalez Pines Apt. 462
South Bryan, KY 53843","Merchandiser, retail",South Nathan
9,1,64,19,3,"0406 Allen Orchard Apt. 033
West Jenniferstad, ND 93020",Diplomatic Services operational officer,Jacobchester
10,0,30,19,72,"09635 Charles Land
South Linda, WV 96373",Sales executive,Duffybury
11,1,67,19,14,"9486 Hunter Point Suite 582
Victorberg, OR 97152",Broadcast presenter,East Maria
12,0,35,19,99,"7998 Thompson Rapids
Port Steve, IL 34139","Physicist, medical",Port Toddfurt
13,0,58,20,15,"746 James Circles Suite 243
East Bryanside, SD 76115",Optometrist,Peterstad
14,0,24,20,77,"89512 Thompson Viaduct Suite 576
Faithmouth, TX 41968",Broadcast journalist,Flemingview
15,1,37,20,13,"76405 Anna Parks Apt. 402
New Jamesshire, MA 42378","Development worker, community",Sethtown
16,1,22,20,79,"45172 Weber Union Apt. 675
Braytown, MT 61308",Nutritional therapist,Blackborough
17,0,35,21,35,"97521 Alyssa Trail Suite 377
Rogersport, OK 75220","Research officer, political party",New Ashleymouth
18,1,20,21,66,"732 Jacqueline Centers Suite 127
Meyerfurt, NH 65425",Environmental manager,South Dana
19,1,52,23,29,"087 John Knolls Suite 299
Petersonfort, LA 86338",Building surveyor,South Jason
20,0,35,23,98,"5266 Renee Junction Apt. 640
Smithfurt, PR 56427",Fisheries officer,East Kaylaburgh
21,1,35,24,35,"745 Deanna Vista Apt. 524
Cherylbury, VT 45289",Race relations officer,Dennisland
22,1,25,24,73,"0483 Briggs Flats Apt. 290
West Christopher, SD 37916",Field trials officer,South Melvinchester
23,0,46,25,5,"992 Martin Brook Suite 077
Lake Erika, KS 78647",Dramatherapist,East Kimborough
24,1,31,25,73,"9687 Massey Overpass
Juliechester, WI 60011",Video editor,Cortezberg
25,0,54,28,14,"PSC 0151, Box 3817
APO AE 47731","Engineer, materials",North Johnville
26,1,29,28,82,"60380 Andrea Cape
North Kathleen, FM 38441",Fast food restaurant manager,West Ryan
27,0,45,28,32,"6957 Jay Crossing
Robertchester, CT 82676",Photographer,Riverashire
28,1,35,28,61,"054 Taylor Square Suite 470
Port Jamesshire, VI 98008",Conference centre manager,Estesville
29,0,40,29,31,"26365 Lisa Parkway
Lake Christophermouth, WI 88446",Fashion designer,Davidshire
30,0,23,29,87,"252 Levi Fort
North Derekstad, OR 64916",Chartered loss adjuster,North Karen
31,1,60,30,4,"7373 Amy Loaf
Ayerstown, ND 17303","Sales professional, IT",Clarkland
32,0,21,30,73,"1910 Melissa Terrace
Terrifort, CA 16826",Agricultural consultant,North Amber
33,1,53,33,4,"288 Charles Glens
Alyssatown, NC 55764",Dealer,Port Latoya
34,1,18,33,92,"9074 Amber Mall Apt. 757
Ballardtown, KY 09943",Psychiatric nurse,Collinsland
35,0,49,33,14,"14698 Daniel Throughway Suite 778
Washingtonborough, AL 06772","Programmer, systems",Port Brandi
36,0,21,33,81,"2905 Oneal Loop Apt. 596
Lake Peggy, NC 21392","Journalist, newspaper",Williamsmouth
37,0,42,34,17,"63268 Jonathan Prairie Suite 006
Lindseybury, VA 97156",Fitness centre manager,Doyleberg
38,0,30,34,73,"3276 Holland Crest
South Brucefort, OH 68310",Corporate treasurer,Rothshire
39,0,36,37,26,"383 Bryant Corners Suite 851
Port Desireeland, ND 91378",Speech and language therapist,Wagnertown
40,0,20,37,75,"378 Aguilar Motorway Apt. 707
Port Debra, SD 67987",Advertising account executive,Mannhaven
41,0,65,38,35,"442 Phillip Heights
Allisonfurt, KY 17581",Tree surgeon,East Mariaville
42,1,24,38,92,"23039 Morris Wall Apt. 373
Stewartbury, NV 99259",Ship broker,North Josephberg
43,1,48,39,36,"61607 Spencer Key
Kimberlyborough, MI 79927",Landscape architect,Kennethmouth
44,0,31,39,61,"5436 Mary Estates
Martinezport, TN 64565",Furniture designer,South Rebecca
45,0,49,39,28,"2734 Li Inlet Suite 725
Wendyburgh, GU 73162",Trade mark attorney,Robertside
